"filename", "language", "XML", "C#", "JSON", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IOrderRep.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IProductRep.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IProgrammingTaskRep.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IShippingInformationRep.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IShoppingCartItemRep.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\ISubTopicsRep.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\ISubmissionRep.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IUserRep.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\LearnProgramming.Core.csproj", "XML", 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\LearningTopic.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\Order.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\OrderItem.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\Product.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\ProgrammingTask.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\ShippingInformation.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\ShoppingCartItem.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\SubTopic.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\Submission.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\TeacherAndStudent.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\User.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 1, 3, 28
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Enums\AllRoles.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Enums\BookCover.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Enums\Difficulty.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\LearnProgramming.Domain.csproj", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\LearningTopicsProfile.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\OrderItemProfile.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\OrderProfile.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ProductProfile.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ProgrammingTask.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ShippingInformationProfile.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ShoppingCartItemProfile.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\SubTopicsProfile.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\SubmissionProfile.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\UserProfile.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Database\DatabaseContext.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Database\DesignTimeDbContextFactory.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\LearnProgramming.Infrastructure.csproj", "XML", 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230131194908_InitDatabase.Designer.cs", "C#", 0, 65, 0, 0, 0, 0, 0, 1, 18, 84
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230131194908_InitDatabase.cs", "C#", 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205161316_fixedUser.Designer.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 1, 20, 92
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205161316_fixedUser.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205180255_fixedSexNullable.Designer.cs", "C#", 0, 69, 0, 0, 0, 0, 0, 1, 19, 89
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205180255_fixedSexNullable.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230207164322_addedAvatarIntoUser.Designer.cs", "C#", 0, 72, 0, 0, 0, 0, 0, 1, 20, 93
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230207164322_addedAvatarIntoUser.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230211165337_addedLearningTopics.Designer.cs", "C#", 0, 94, 0, 0, 0, 0, 0, 1, 29, 124
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230211165337_addedLearningTopics.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230212125855_fixedLearningTopics.Designer.cs", "C#", 0, 94, 0, 0, 0, 0, 0, 1, 29, 124
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230212125855_fixedLearningTopics.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213104958_changedRoleToString.Designer.cs", "C#", 0, 181, 0, 0, 0, 0, 0, 1, 60, 242
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213104958_changedRoleToString.cs", "C#", 0, 103, 0, 0, 0, 0, 0, 0, 10, 113
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213105900_removedAvatarFromUser.Designer.cs", "C#", 0, 178, 0, 0, 0, 0, 0, 1, 59, 238
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213105900_removedAvatarFromUser.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213174154_changedReleaseDate.Designer.cs", "C#", 0, 182, 0, 0, 0, 0, 0, 1, 60, 243
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213174154_changedReleaseDate.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230215172918_Changed column names.Designer.cs", "C#", 0, 186, 0, 0, 0, 0, 0, 1, 61, 248
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230215172918_Changed column names.cs", "C#", 0, 86, 0, 0, 0, 0, 0, 0, 18, 104
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230222173923_removedSex.Designer.cs", "C#", 0, 183, 0, 0, 0, 0, 0, 1, 60, 244
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230222173923_removedSex.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301205434_addedProduct.Designer.cs", "C#", 0, 263, 0, 0, 0, 0, 0, 1, 91, 355
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301205434_addedProduct.cs", "C#", 0, 168, 0, 0, 0, 0, 0, 0, 16, 184
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301214243_changedShoppingCartName.Designer.cs", "C#", 0, 263, 0, 0, 0, 0, 0, 1, 91, 355
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301214243_changedShoppingCartName.cs", "C#", 0, 90, 0, 0, 0, 0, 0, 0, 10, 100
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304130021_addedSubmissionsAndOther.Designer.cs", "C#", 0, 337, 0, 0, 0, 0, 0, 1, 117, 455
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304130021_addedSubmissionsAndOther.cs", "C#", 0, 178, 0, 0, 0, 0, 0, 0, 28, 206
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304164950_fixedLearningTopic.Designer.cs", "C#", 0, 331, 0, 0, 0, 0, 0, 1, 114, 446
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304164950_fixedLearningTopic.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230305124556_addedBookCoverEnum.Designer.cs", "C#", 0, 330, 0, 0, 0, 0, 0, 1, 114, 445
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230305124556_addedBookCoverEnum.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230307162808_Added programming task entity.Designer.cs", "C#", 0, 338, 0, 0, 0, 0, 0, 1, 118, 457
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230307162808_Added programming task entity.cs", "C#", 0, 91, 0, 0, 0, 0, 0, 0, 9, 100
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230314183733_removedPicFromLearningTopics.Designer.cs", "C#", 0, 335, 0, 0, 0, 0, 0, 1, 117, 453
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230314183733_removedPicFromLearningTopics.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230320185023_addedTeacherAndStudentRelatioship.Designer.cs", "C#", 0, 359, 0, 0, 0, 0, 0, 1, 126, 486
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230320185023_addedTeacherAndStudentRelatioship.cs", "C#", 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\DatabaseContextModelSnapshot.cs", "C#", 0, 357, 0, 0, 0, 0, 0, 1, 126, 484
