"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\Pages\Types\ProgrammingTaskTypes.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\Pages\Types\ShopTypes.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 2, 18
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\Pages\Types\ShoppingCartTypes.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 2, 19
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\Pages\Types\SubmissionTypes.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\Pages\Types\UserTypes.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 10
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\Pages\compiler.js", "JavaScript", 0, 0, 22, 0, 1, 2, 25
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\defineTheme.js", "JavaScript", 0, 0, 16, 0, 1, 4, 21
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\index.css", "CSS", 0, 0, 0, 51, 0, 10, 61
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\index.tsx", "TypeScript JSX", 0, 15, 0, 0, 3, 5, 23
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\learnprogrammingfront\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 4, 1, 6
"Total", "-", 14, 3890, 38, 51, 13, 265, 4271
